Food Name,Image URL,Ingredients
Salisbury Steak,https://static.wikia.nocookie.net/cookingmama/images/a/ad/CM_01.png/revision/latest/scale-to-width-down/140?cb=20190812201616,"Onion
Butter
Minced Meat
Egg
Bread Crumbs (panko)
Milk
Arrangement Items: Pudding, Flag, Broccoli, Tomato Slices, Corn, Green Beans, Carrots"
Japanese Hamburg Steak,https://static.wikia.nocookie.net/cookingmama/images/a/ac/CM_02.png/revision/latest/scale-to-width-down/140?cb=20190812201803,"Onion
Butter
Minced Meat
Dark-brown Miso (aka-miso)
Bread Crumbs (panko)
Egg
Dashi
Soy Sauce
Sugar
Cooking Sake (mirin)
Potato Starch (katakuriko)
Daikon Radish
Arrangement Items: Fries, Flag, Broccoli, Grated Daikon, Corn, Green Beans, Carrots"
Minced Pork Steak,https://static.wikia.nocookie.net/cookingmama/images/a/aa/CM_03.png/revision/latest/scale-to-width-down/140?cb=20190812201905,"Onion
Butter
Minced Pork
Egg
Bread Crumbs (panko)
Milk
Flour (komugiko)
Served with shredded cabbage"
Hamburger Stewed in Tomato Sauce,https://static.wikia.nocookie.net/cookingmama/images/4/4e/CM_04.png/revision/latest/scale-to-width-down/140?cb=20190812202111,"Onion
Butter
Minced Meat
Egg
Bread Crumbs (panko)
Milk
Tomato Puree
Garnished with parsley"
Hamburger with Egg,https://static.wikia.nocookie.net/cookingmama/images/e/e0/CM_05.png/revision/latest/scale-to-width-down/140?cb=20190812202140,"Onion
Butter
Minced Meat
Egg
Bread Crumbs (panko)
Milk
Water
Arrangement Items: Pudding, Flag, Broccoli, Tomato Slices, Corn, Green Beans, Carrots"
Potato Salad,https://static.wikia.nocookie.net/cookingmama/images/8/85/CM_06.png/revision/latest/scale-to-width-down/140?cb=20190812202234,"Carrot
Water
Potatoes
Cucumber
Mayonnaise
Salt
Pepper"
Fried Fish,https://static.wikia.nocookie.net/cookingmama/images/b/b8/CM_07.png/revision/latest/scale-to-width-down/140?cb=20190816024836,"Fish (Cod)
Flour (komugiko)
Butter
Arrangement Items: Fries, Broccoli, Tomato Slices, Corn, Green Beans, Carrots"
Pork Curry and Rice,https://static.wikia.nocookie.net/cookingmama/images/4/4d/CM_08.png/revision/latest/scale-to-width-down/140?cb=20190816024929,"Potato
Carrot
Onion
Pork
Water
Curry Roux
Served with rice"
Beef Curry,https://static.wikia.nocookie.net/cookingmama/images/c/c7/CM_09.png/revision/latest/scale-to-width-down/140?cb=20190816024959,"Potato
Carrot
Onion
Beef
Butter
Water
Curry Roux
Bay Leaf
Served with rice"
Beef Stew,https://static.wikia.nocookie.net/cookingmama/images/0/05/CM_10.png/revision/latest/scale-to-width-down/140?cb=20190816025206,"Potato
Carrot
Onion
Beef
Butter
Water
Tomato Puree
Red Wine
Consomme"
